Date,Close,Volume,,Date,Weighted_Sentiment,Simple_Avg_Sentiment,Close,Vol
2023/10/17,28415.74805,14872527508,,2024/9/29,-0.014374175,-0.016747132,65635.30469,14788214575
2023/10/18,28328.3418,12724128586,,2024/9/28,0.01138327,-0.021521627,65887.64844,15243637984
2023/10/19,28719.80664,14448058195,,2024/9/26,-0.007407407,-0.007407407,65181.01953,36873129847
2023/10/20,29682.94922,21536125230,,2024/9/25,-0.007142857,-0.007142857,63143.14453,25078377700
2023/10/21,29918.41211,11541146996,,2024/9/24,-0.018639694,-0.017316017,64301.96875,29938335243
2023/10/22,29993.89648,10446520040,,2024/9/23,0.0040531,0.003553021,63329.80078,31400285425
2023/10/23,33086.23438,38363572311,,2024/9/22,-0.002019285,-0.007651301,63648.71094,20183348802
2023/10/24,33901.52734,44934999645,,2024/9/21,-0.00907392,-0.008436306,63394.83984,14408616220
2023/10/25,34502.82031,25254318008,,2024/9/20,-0.00279749,-0.005606235,63192.97656,35177164222
2023/10/26,34156.64844,19427195376,,2024/9/19,0.00256133,0.006341505,62940.45703,42710252573
2023/10/27,33909.80078,16418032871,,2024/9/12,0,0,58127.01172,33835707949
2023/10/28,34089.57422,10160330825,,2024/9/4,0,0,57971.53906,35627680312
2023/10/29,34538.48047,11160323986,,2024/8/27,-0.027232241,-0.025955466,59504.13281,39103882198
2023/10/30,34502.36328,17184860315,,2024/8/26,-0.008928571,-0.008928571,62880.66016,27682040631
2023/10/31,34667.78125,15758270810,,2024/8/25,0.021245421,0.024867725,64333.54297,18827683555
2023/11/1,35437.25391,22446272005,,2024/8/24,0.001868832,-0.001102803,64178.99219,21430585163
2023/11/2,34938.24219,20998158544,,2024/8/23,0.001788955,0.000378308,64094.35547,42530509233
2023/11/3,34732.32422,17158456701,,2024/8/17,-0.03030303,-0.03030303,59478.97266,13589684021
2023/11/4,35082.19531,9561294264,,2024/8/16,-0.001595891,-0.003164749,58894.10547,29350938673
2023/11/5,35049.35547,12412743996,,2024/8/15,-0.039943599,-0.006418891,57560.09766,35682112440
2023/11/6,35037.37109,12693436420,,2024/7/24,0.066666667,0.066666667,65372.13281,27470942309
2023/11/7,35443.5625,18834737789,,2024/7/22,0,0,67585.25,42649109453
2023/11/8,35655.27734,17295394918,,2024/7/10,-0.015377118,-0.01691483,57742.49609,26175260526
2023/11/9,36693.125,37762672382,,2024/7/9,-0.003631347,-0.003631347,58009.22656,27849512607
2023/11/10,37313.96875,22711265155,,2024/7/8,-0.027777778,-0.027777778,56705.09766,39766159899
2023/11/11,37138.05078,13924272142,,2024/7/7,0.018849206,0.018849206,55849.10938,20553359505
2023/11/12,37054.51953,11545715999,,2024/7/6,-0.000936498,-0.000359671,58303.53906,20610320577
2023/11/13,36502.35547,19057712790,,2024/7/5,-0.001882598,-0.007737516,56662.375,55417544033
2023/11/14,35537.64063,23857403554,,2024/7/4,-0.002506067,-0.005194343,56977.70313,41149609230
2023/11/15,37880.58203,27365821679,,2024/7/1,-0.020032762,-0.0169613,62851.98047,25468379421
2023/11/16,36154.76953,26007385366,,2024/6/30,-0.007246377,-0.006521739,62678.29297,17333226409
2023/11/17,36596.68359,22445028430,,2024/6/29,-0.020833333,-0.020833333,60887.37891,12652903396
2023/11/18,36585.70313,11886022717,,2024/6/28,-0.014305638,-0.013843019,60320.13672,24952866877
2023/11/19,37386.54688,12915986553,,2024/6/27,-0.009360124,-0.009055978,61604.80078,21231745045
2023/11/20,37476.95703,20888209068,,2024/6/22,-0.025,-0.025,64252.57813,9858198793
2023/11/21,35813.8125,25172163756,,2024/6/21,0,0,64096.19922,26188171739
2023/11/22,37432.33984,24397247860,,2024/6/18,0,0,65140.74609,39481285950
2023/11/23,37289.62109,14214948217,,2024/6/14,0,0,66011.09375,27403884779
2023/11/24,37720.28125,22922957823,,2024/6/11,0,0,67332.03125,37116136345
2023/11/25,37796.79297,9099571165,,2024/6/10,0,0,69512.28125,20597699541
2023/11/26,37479.12109,13744796068,,2024/6/9,-0.010752688,-0.010752688,69647.99219,13534028500
2023/11/27,37254.16797,19002925720,,2024/6/8,-0.020547945,-0.020547945,69305.77344,14262185861
2023/11/28,37831.08594,21696137014,,2024/6/7,-0.016684229,-0.016684229,69342.58594,36188381096
2023/11/29,37858.49219,20728546658,,2024/6/6,-0.027777778,-0.027777778,70757.16406,25223152007
2023/11/30,37712.74609,18115982627,,2024/6/5,0,0,71082.82031,32810771409
2023/12/1,38688.75,23512784002,,2024/6/4,-0.017420904,-0.010762346,70567.76563,33149696545
2023/12/2,39476.33203,15534035612,,2024/6/3,-0.005025319,-0.003872753,68804.78125,32401285324
2023/12/3,39978.39063,15769696322,,2024/6/2,-0.002298646,-0.003566109,67751.60156,17110588415
2023/12/4,41980.09766,39856129827,,2024/6/1,-0.002384246,0.000815665,67706.9375,11641495604
2023/12/5,44080.64844,36312154535,,2024/5/31,-0.001436541,-0.001309397,67491.41406,27387283769
2023/12/6,43746.44531,29909761586,,2024/5/30,-0.006905563,-0.003717049,68364.99219,29509712534
2023/12/7,43292.66406,27635760671,,2024/5/29,-0.023384765,-0.013710092,67578.09375,26707072906
2023/12/8,44166.60156,24421116687,,2024/5/22,-0.00913242,-0.010273973,69122.33594,32802561717
2023/12/9,43725.98438,17368210171,,2024/5/21,-0.003586161,-0.003586161,70136.53125,46932005990
2023/12/10,43779.69922,13000481418,,2024/5/20,-0.007923122,-0.006186839,71448.19531,43850655717
2023/12/11,41243.83203,40632672038,,2024/5/19,-0.016595391,-0.013603731,66278.36719,19249094538
2023/12/12,41450.22266,24779520132,,2024/5/18,-0.002797645,-0.002797645,66940.80469,16712277406
2023/12/13,42890.74219,26797884674,,2024/5/17,-0.009603422,-0.008668485,67051.875,28031279310
2023/12/14,43023.97266,25578530178,,2024/5/16,-0.014772792,-0.005631791,65231.58203,31573077994
2023/12/15,41929.75781,19639442462,,2024/5/13,-0.002994012,-0.002994012,62901.44922,27889181179
2023/12/16,42240.11719,14386729590,,2024/5/12,0,0,61448.39453,13800459405
2023/12/17,41364.66406,16678702876,,2024/5/11,0,0,60793.71094,13842272968
2023/12/18,42623.53906,25224642008,,2024/5/10,-0.010653502,-0.010276197,60792.77734,27804954694
2023/12/19,42270.52734,23171001281,,2024/5/9,-0.003248456,-0.00578211,63049.96094,25453338161
2023/12/20,43652.25,27868908174,,2024/5/8,-0.017776789,-0.004547016,61187.94141,26088172222
2023/12/21,43869.15234,22452766169,,2024/5/3,0,0,62889.83594,33172023048
2023/12/22,43997.90234,21028503216,,2024/5/1,-0.022222222,-0.016666667,58254.01172,48439780271
2023/12/23,43739.54297,13507796558,,2024/4/30,0.003373158,-0.004299153,60636.85547,37840840057
2023/12/24,43016.11719,18830554085,,2024/4/29,0,0,63841.12109,26635912073
2023/12/25,43613.14063,21115795370,,2024/4/28,0,0,63113.23047,17334827993
2023/12/26,42520.40234,30026850982,,2024/4/26,-0.006413869,-0.006734562,63755.32031,24139372950
2023/12/27,43442.85547,25260941032,,2024/4/25,-0.029749776,-0.033505978,64481.70703,32155786816
2023/12/28,42627.85547,22992093014,,2024/4/24,-0.003475668,-0.000977578,64276.89844,30276655120
2023/12/29,42099.40234,26000021055,,2024/4/23,-0.003458387,-0.001954261,66407.27344,24310975583
2023/12/30,42156.90234,16013925945,,2024/4/22,0,0,66837.67969,28282686673
2023/12/31,42265.1875,16397498810,,2024/4/21,-0.003954143,-0.002525852,64926.64453,20506644853
2024/1/1,44167.33203,18426978443,,2024/4/20,0.002349584,0.004312018,64994.44141,23097485495
2024/1/2,44957.96875,39335274536,,2024/4/19,-0.002197802,-0.003496503,63843.57031,49920425401
2024/1/3,42848.17578,46342323118,,2024/4/18,-0.005721411,-0.004029045,63512.75391,36006307335
2024/1/4,44179.92188,30448091210,,2024/4/17,0.002645525,0.001438937,61276.69141,41915247049
2024/1/5,44162.69141,32336029347,,2024/4/15,0.019043951,0.022339869,63426.21094,43595917654
2024/1/6,43989.19531,16092503468,,2024/4/14,0.007112826,0.007112826,65738.72656,49084320047
2024/1/7,43943.09766,19330573863,,2024/4/13,0.002791664,-0.001057532,63821.47266,52869738185
2024/1/8,46970.50391,42746192015,,2024/4/11,-0.020547945,-0.020547945,70060.60938,30153382941
2024/1/9,46139.73047,39821290992,,2024/4/9,-0.008333333,-0.008333333,69139.01563,36426900409
2024/1/10,46627.77734,50114613298,,2024/4/6,0.024390244,0.024390244,68896.10938,19967785809
2024/1/11,46368.58594,45833734549,,2024/4/5,-0.060534591,-0.060534591,67837.64063,33748230056
2024/1/12,42853.16797,43332698900,,2024/4/4,-0.071428571,-0.071428571,68508.84375,34439527442
2024/1/13,42842.38281,20601860469,,2024/4/3,0,0,65980.8125,34488018367
2024/1/14,41796.26953,17521429522,,2024/4/2,-0.008409407,-0.008479888,65446.97266,50705240709
2024/1/15,42511.96875,22320220558,,2024/4/1,-0.007966924,-0.001005343,69702.14844,34873527352
2024/1/16,43154.94531,24062872740,,2024/3/31,-0.052631579,-0.052631579,71333.64844,20050941373
2024/1/17,42742.65234,20851232595,,2024/3/29,0,0,69892.82813,25230851763
