Date,Weighted_Sentiment,Total_Comments,Total_Upvotes,Avg_Upvotes,Max_Upvotes,Min_Upvotes,Simple_Avg_Sentiment
2024/3/5,0.00495312,206,4026,19.54368932,1130,0,-0.005469382
2024/3/4,0.002071947,165,4509,27.32727273,719,0,-0.000680824
2024/3/3,0,1,1,1,1,1,0
2024/3/2,0,3,4,1.333333333,2,1,0
2024/3/1,-0.020454545,3,5,1.666666667,2,1,-0.018181818
2024/2/29,0.001344841,200,617,3.085,46,0,0.000297114
2024/2/28,0.004302594,189,4785,25.31746032,548,0,0.003831981
2024/2/26,0,1,1,1,1,1,0
2024/2/22,0,1,1,1,1,1,0
2024/2/20,0,1,1,1,1,1,0
2024/2/17,0.016666667,4,4,1,1,1,0.016666667
2024/2/16,0.005681818,5,6,1.2,2,1,0.00625
2024/2/15,0.032654515,15,16,1.066666667,2,1,0.033742999
2024/2/14,-0.008427207,165,481,2.915151515,44,0,-0.004803939
2024/2/13,0.012305325,808,7833,9.694306931,1138,0,-0.004783752
2024/2/12,0.166666667,1,1,1,1,1,0.166666667
2024/2/11,0,4,4,1,1,1,0
2024/2/10,-0.002648746,91,133,1.461538462,18,0,-0.000793471
2024/2/9,0.005103696,91,1986,21.82417582,535,0,-0.00186763
2024/2/8,-0.004641657,52,73,1.403846154,4,0,-0.003484021
2024/2/7,-0.003597282,180,1874,10.41111111,232,0,-0.005415036
2024/1/30,0.050498244,5,6,1.2,2,1,0.041262354
2024/1/29,0.007909916,27,28,1.037037037,3,0,0.004427371
2024/1/28,0.00196781,240,1274,5.308333333,130,0,0.003570086
2024/1/27,0.003492984,110,2865,26.04545455,647,0,-0.00332277
2024/1/26,-0.001127882,18,20,1.111111111,2,0,0.000419238
2024/1/25,0.001658322,439,3467,7.897494305,766,0,-0.002751705
2024/1/24,-0.002332505,216,3672,17,1319,0,-0.002715111
2024/1/23,-0.005684305,69,152,2.202898551,7,0,-0.004866516
2024/1/22,-0.00677418,391,8237,21.06649616,2102,0,-0.006907024
2024/1/21,-0.00321451,19,24,1.263157895,3,0,-0.002926235
2024/1/20,-0.005795769,174,950,5.459770115,62,0,-0.004820153
2024/1/19,0.001058006,33,1490,45.15151515,417,0,-0.000822015
2024/1/17,0,2,2,1,1,1,0
2024/1/16,0.006967607,19,18,0.947368421,3,0,0.005747805
2024/1/15,-0.007497336,171,679,3.970760234,148,0,-0.00779218
2024/1/14,-0.031149683,148,3018,20.39189189,792,0,-0.000521743
2024/1/13,-0.009044597,427,3957,9.266978923,311,0,-0.00619047
2024/1/12,-0.029411765,4,6,1.5,4,0,-0.014705882
2024/1/11,-0.002097119,476,7750,16.28151261,1269,0,-0.002387795
2024/1/10,-0.021908542,467,3772,8.077087794,88,0,-0.015056689
2024/1/8,-0.011411024,36,72,2,4,0,-0.013867164
2024/1/7,-0.002067539,416,4164,10.00961538,666,0,-0.011575026
2023/12/28,-0.016129032,3,1,0.333333333,1,0,-0.010752688
2023/12/27,-0.011904762,4,2,0.5,1,0,-0.008928571
2023/12/22,0.033333333,1,1,1,1,1,0.033333333
2023/12/19,0,1,1,1,1,1,0
2023/12/11,0,1,1,1,1,1,0
2023/12/9,-0.018629453,8,5,0.625,1,0,-0.017772861
2023/12/8,0.003047091,9,10,1.111111111,2,1,0.000292398
2023/12/7,-0.003744644,92,110,1.195652174,5,0,-0.002990147
2023/12/6,-0.009115297,662,7898,11.9305136,630,0,-0.005147546
2023/12/5,-0.003671186,56,91,1.625,10,0,-0.002129597
2023/12/4,-0.001847203,266,3991,15.0037594,602,0,-0.002918747
2023/12/2,0,1,1,1,1,1,0
2023/12/1,0.04,1,0,0,0,0,0.04
2023/11/30,0.112637363,5,8,1.6,3,1,0.096428571
2023/11/29,-0.000628985,49,131,2.673469388,28,1,0.003232424
2023/11/28,0.00218931,249,6648,26.69879518,1971,0,-0.004817957
2023/11/4,0.018292683,1,1,1,1,1,0.018292683
2023/11/3,-0.01183432,2,3,1.5,2,1,-0.014792899
2023/11/2,0.083333333,5,7,1.4,3,0,0.066666667
2023/11/1,-0.010077622,109,176,1.614678899,11,0,-0.009207536
2023/10/31,-0.00787365,790,6559,8.302531646,889,0,-0.006110144
2023/10/27,0.01637737,28,34,1.214285714,5,0,0.010776845
2023/10/26,-0.006088063,385,6508,16.9038961,1454,0,-0.006022741
2023/9/1,0,1,1,1,1,1,0
2023/8/29,0,2,9,4.5,7,2,0
2023/8/27,0.009763314,22,29,1.318181818,6,0,0.006082409
2023/8/26,-0.013483497,320,1690,5.28125,417,0,0.002046268
2023/8/17,0,2,4,2,2,2,0
2023/8/16,-0.003785919,106,368,3.471698113,54,0,-0.005477023
2023/8/15,-0.007598307,362,4826,13.33149171,498,0,-0.008037621
2023/7/28,0,1,1,1,1,1,0
2023/7/26,0,5,5,1,1,1,0
2023/7/25,0.016176085,218,1804,8.275229358,520,0,-0.002496934
2023/5/8,0,1,1,1,1,1,0
2023/5/7,0,1,4,4,4,4,0
2023/5/5,0,1,1,1,1,1,0
2023/5/2,0,1,1,1,1,1,0
2023/4/29,0,2,9,4.5,5,4,0
2023/4/28,0.25,1,2,2,2,2,0.25
2023/4/27,0.016649538,2,1,0.5,1,0,0.010688592
2023/4/26,0.00446671,48,69,1.4375,8,0,0.002460889
2023/4/25,-0.003126709,389,4092,10.51928021,612,0,-0.004272789
2023/4/24,-0.01397582,36,80,2.222222222,8,0,-0.015306232
2023/4/23,-0.004410641,414,3153,7.615942029,323,0,-0.003623454
