date,open,high,low,close,volume
2024-12-08,4000.02,4018.5,3926.45,4006.75,53096.54067022
2024-12-09,4007.38,4008.8,3501.0,3713.57,249048.23608556
2024-12-10,3713.56,3782.0,3516.0,3630.34,224597.72358534
2024-12-11,3630.37,3851.87,3564.36,3835.08,159702.34530659
2024-12-12,3835.08,3989.22,3799.19,3882.68,155214.19673209
2024-12-13,3882.62,3969.32,3854.0,3907.87,122136.22549054
2024-12-14,3907.7,3945.29,3824.44,3869.25,47709.20178216
2024-12-15,3869.5,3973.71,3831.09,3957.7,56559.95110714
2024-12-16,3957.7,4109.0,3881.93,3987.6,189528.18368088
2024-12-17,3987.59,4041.76,3848.76,3893.54,125248.61133174
2024-12-18,3893.44,3907.71,3615.79,3624.84,187093.0728241
2024-12-19,3624.92,3718.3,3322.19,3414.35,304672.23375305
2024-12-20,3414.35,3497.29,3095.65,3470.47,318980.65790952
2024-12-21,3470.47,3553.49,3291.31,3337.09,95122.34009357
2024-12-22,3337.05,3400.23,3217.84,3278.6,72542.86862482
2024-12-23,3278.69,3462.14,3213.85,3418.12,176709.65124672
2024-12-24,3418.12,3537.52,3353.08,3491.13,103337.99180753
2024-12-25,3491.13,3543.83,3437.42,3493.95,41327.45699372
2024-12-26,3494.36,3512.49,3301.06,3330.86,103793.19567204
2024-12-27,3331.17,3437.87,3301.27,3328.6,121870.90269822
2024-12-28,3328.34,3421.11,3317.12,3397.87,35155.97941995
2024-12-29,3397.86,3408.32,3320.0,3350.23,30260.81890531
2024-12-30,3350.24,3430.0,3293.1,3355.66,98737.16292017
2024-12-31,3355.44,3447.0,3310.0,3330.32,94223.76498048
2025-01-01,3330.52,3366.83,3308.2,3353.32,113635.9777943
2025-01-02,3353.32,3506.11,3347.19,3452.39,86207.50853825
2025-01-03,3452.39,3629.9,3420.62,3607.68,102329.32252706
2025-01-04,3607.68,3670.34,3571.29,3656.4,49524.86729196
2025-01-05,3656.4,3674.92,3593.46,3635.46,36837.72295697
2025-01-06,3635.48,3746.0,3609.58,3688.74,106103.922525
2025-01-07,3688.73,3702.24,3356.0,3380.29,149342.34303939
2025-01-08,3380.32,3414.59,3206.95,3326.29,130070.303195
2025-01-09,3326.51,3356.78,3157.0,3218.81,128267.34648667
2025-01-10,3219.2,3321.91,3194.4,3266.53,115536.39025356
2025-01-11,3266.37,3318.91,3217.61,3282.01,31509.24900704
2025-01-12,3282.0,3298.2,3223.07,3266.02,39914.90204276
2025-01-13,3266.09,3336.26,2913.75,3136.08,175346.06715095
2025-01-14,3136.65,3256.46,3124.2,3223.97,99770.13702215
2025-01-15,3224.35,3475.14,3185.25,3451.58,149178.32406673
2025-01-16,3451.57,3460.6,3262.69,3307.73,136122.61797511
2025-01-17,3307.83,3527.0,3307.09,3475.47,150453.58019826
2025-01-18,3475.54,3496.48,3224.29,3304.07,151937.87656414
2025-01-19,3304.09,3445.0,3125.45,3210.03,298299.62598353
2025-01-20,3211.85,3448.0,3139.61,3280.4,290972.59781939
2025-01-21,3280.43,3368.0,3200.98,3327.57,151693.96697671
2025-01-22,3327.56,3366.1,3220.01,3241.35,92936.50329584
2025-01-23,3241.35,3349.15,3181.94,3338.67,143070.07538594
2025-01-24,3339.26,3428.25,3275.41,3309.72,156732.03584317
2025-01-25,3309.83,3350.27,3269.06,3318.37,54942.68192937
2025-01-26,3318.38,3361.16,3227.68,3231.48,73002.88372238
2025-01-27,3231.31,3253.54,3001.0,3181.93,210035.51283536
2025-01-28,3182.06,3223.56,3037.75,3076.06,114838.08339763
2025-01-29,3076.05,3181.99,3053.94,3114.03,146248.69651169
2025-01-30,3114.03,3283.5,3090.89,3247.48,115394.80466779
2025-01-31,3247.32,3438.96,3213.36,3299.99,175027.24810392
2025-02-01,3300.0,3330.9,3101.28,3116.78,78248.09835402
2025-02-02,3116.44,3162.35,2750.0,2869.25,185502.0852722
2025-02-03,2869.69,2924.6,2150.0,2883.62,740839.23312985
2025-02-04,2883.1,2891.9,2633.67,2732.07,364753.54972783
2025-02-05,2732.07,2827.94,2699.6,2788.3,192546.34864221
2025-02-06,2788.56,2858.92,2656.53,2687.1,169430.89789344
2025-02-07,2687.18,2799.59,2563.0,2622.95,182738.50499497
2025-02-08,2623.02,2668.11,2588.13,2632.62,128631.57438449
2025-02-09,2633.12,2698.72,2522.16,2627.87,91400.38607088
2025-02-10,2627.82,2694.49,2560.35,2661.87,109998.03360165
2025-02-11,2661.84,2725.74,2560.49,2602.03,129799.77478026
2025-02-12,2602.08,2796.89,2548.0,2738.58,162873.98962217
2025-02-13,2738.84,2758.18,2613.25,2676.09,127721.98336554
2025-02-14,2676.29,2793.44,2664.64,2726.32,128927.50134811
2025-02-15,2726.36,2739.55,2664.22,2693.58,40084.20408191
2025-02-16,2693.58,2726.58,2652.55,2661.51,52326.61083108
2025-02-17,2661.51,2849.53,2638.43,2744.1,137419.86385484
2025-02-18,2744.11,2756.5,2604.48,2670.59,133442.2018924
2025-02-19,2670.57,2736.29,2654.68,2715.27,100984.73251454
2025-02-20,2715.3,2771.9,2707.15,2738.65,88538.81529699
2025-02-21,2738.64,2846.53,2614.08,2661.69,298706.61877983
2025-02-22,2661.68,2797.81,2652.08,2763.5,83103.0458881
2025-02-23,2763.53,2855.23,2745.5,2819.63,95606.18967107
2025-02-24,2819.77,2839.81,2471.74,2513.35,199034.77624736
2025-02-25,2513.33,2530.99,2319.86,2492.37,367833.55676734
2025-02-26,2492.54,2504.18,2251.01,2332.93,225247.77404589
2025-02-27,2332.98,2361.61,2312.37,2353.69,8575.5065519
