Date,Price,Sentiment,Sentiment_Score,Action,Cash,Holdings,Short_Holdings,Portfolio_Value,Crypto_Return,Portfolio_Return
2024-09-17,60313.3222299,Positive,2.0,Buy Long,0.0,3.728279489874429,0.0,224864.92223592362,-0.6535020795637513,2148.649222359236
2024-09-18,61624.11507927,Negative,-1.0,Sell Long,229751.92433170386,0.0,0.0,229751.92433170386,1.5056009887050106,2197.5192433170387
2024-09-19,62998.45991945,Negative,-1149.0,Sell Short,459503.8486634077,0.0,3.646945093982699,459503.8486634077,3.7693852035167974,4495.038486634077
2024-09-20,63176.37438305,Negative,-67.0,Hold,459503.8486634077,0.0,3.646945093982699,458855.00438323314,4.062441169173604,4488.5500438323315
2024-09-21,63424.34803262,Positive,186.0,Close Short,457950.65809849685,0.0,0.0,457950.65809849685,4.470896759920617,4479.506580984968
2024-09-22,63685.39387862,Positive,275.0,Buy Long,0.0,7.190827130178694,0.0,457950.65809849685,4.9008845244467265,4479.506580984968
2024-09-23,63389.25979313,Positive,20.0,Hold,0.0,7.190827130178694,0.0,455821.20908238465,4.413100346414526,4458.212090823847
2024-09-24,64345.11185538,Positive,64.0,Hold,0.0,7.190827130178694,0.0,462694.5760240492,5.9875544040536886,4526.945760240492
2024-09-25,63128.69326987,Positive,32.0,Hold,0.0,7.190827130178694,0.0,453947.5202577103,3.983902109538895,4439.475202577103
2024-09-26,65193.37131676,Positive,243.0,Hold,0.0,7.190827130178694,0.0,468794.2631723713,7.384784795288906,4587.942631723713
2024-09-27,65807.10440955,Negative,-33.0,Sell Long,473207.5117466941,0.0,0.0,473207.5117466941,8.395709598836497,4632.075117466941
2024-09-28,65932.90890615,Positive,4.0,Buy Long,0.0,7.177106540532977,0.0,473207.5117466941,8.602931414809646,4632.075117466941
2024-09-29,65639.17306441,Positive,155.0,Hold,0.0,7.177106540532977,0.0,471099.33831575303,8.11909756000479,4610.993383157531
2024-09-30,63319.42173129,Positive,3.0,Hold,0.0,7.177106540532977,0.0,454450.2358504074,4.298064951101566,4444.5023585040735
2024-10-01,61050.31436029,Positive,371.0,Hold,0.0,7.177106540532977,0.0,438164.6104968317,0.5604517276909793,4281.646104968317
2024-10-02,60661.48706938,Positive,88.0,Hold,0.0,7.177106540532977,0.0,435373.9556041038,-0.08001422940812668,4253.739556041038
2024-10-03,60780.11833479,Positive,1.0,Hold,0.0,7.177106540532977,0.0,436225.3848349896,0.115392031209217,4262.2538483498965
2024-10-04,62101.60712141,Positive,218.0,Hold,0.0,7.177106540532977,0.0,445709.850648681,2.292113162427881,4357.09850648681
2024-10-05,62236.09769079,Positive,114.0,Hold,0.0,7.177106540532977,0.0,446675.10379381815,2.513642446129058,4366.751037938182
2024-10-06,62836.23699858,Positive,7.0,Hold,0.0,7.177106540532977,0.0,450982.36754498875,3.5021759290976813,4409.823675449888
2024-10-07,62366.19963699,Positive,1.0,Hold,0.0,7.177106540532977,0.0,447608.8593228263,2.7279429066199548,4376.088593228264
2024-10-08,62179.89290057,Positive,40.0,Hold,0.0,7.177106540532977,0.0,446271.71602632094,2.421063412703809,4362.71716026321
2024-10-09,60590.5428459,Positive,382.0,Hold,0.0,7.177106540532977,0.0,434864.7813537525,-0.19687166471166737,4248.6478135375255
2024-10-10,60245.6980667,Positive,36.0,Hold,0.0,7.177106540532977,0.0,432389.7936334875,-0.7648908000045063,4223.897936334874
2024-10-11,62394.88358932,Positive,18.0,Hold,0.0,7.177106540532977,0.0,447814.72710470227,2.775190348895479,4378.1472710470225
2024-10-12,63190.9502213,Negative,-88.0,Sell Long,453528.182135786,0.0,0.0,453528.182135786,4.086450101708816,4435.28182135786
2024-10-13,62831.12164332,Negative,-1150.0,Sell Short,907056.364271572,0.0,7.218209229343013,907056.364271572,3.493750052161855,8970.56364271572
2024-10-14,66045.91061671,Positive,3.0,Close Short,883851.3448334582,0.0,0.0,883851.3448334582,8.789064822622311,8738.513448334583
2024-10-15,66898.43020982,Positive,973.0,Buy Long,0.0,13.211839830342058,0.0,883851.3448334582,10.193312389373773,8738.513448334583
2024-10-16,67641.12001347,Positive,476.0,Hold,0.0,13.211839830342058,0.0,893663.6435629103,11.416651252263781,8836.636435629103
2024-10-17,67305.87489348,Positive,665.0,Hold,0.0,13.211839830342058,0.0,889234.4387336985,10.864444419932916,8792.344387336985
2024-10-18,68430.27281233,Positive,2.0,Hold,0.0,13.211839830342058,0.0,904089.8039431147,12.716522723313094,8940.898039431147
2024-10-19,68323.61129534,Positive,572.0,Hold,0.0,13.211839830342058,0.0,902680.6090645816,12.540832713476682,8926.806090645816
2024-10-20,68938.6041938,Positive,1.0,Hold,0.0,13.211839830342058,0.0,910805.7967358328,13.55383263536874,9008.057967358329
2024-10-21,67419.95771592,Negative,-609.0,Sell Long,890741.6827111691,0.0,0.0,890741.6827111691,11.052358606438705,8807.416827111692
2024-10-22,67388.70987963,Positive,60.0,Buy Long,0.0,13.217966099992355,0.0,890741.6827111691,11.000888002793802,8807.416827111692
2024-10-23,66663.68284526,Positive,782.0,Hold,0.0,13.217966099992355,0.0,881158.2999492886,9.80664278301065,8711.582999492886
2024-10-24,68114.91856229,Negative,-345.0,Sell Long,900340.6844600892,0.0,0.0,900340.6844600892,12.19707960216682,8903.406844600891
2024-10-25,66476.68631485,Negative,-87.0,Sell Short,1800681.3689201784,0.0,13.543705836898269,1800681.3689201784,9.498627078806969,17906.813689201783
2024-10-26,67025.03468737,Positive,213.0,Close Short,1793254.6998666255,0.0,0.0,1793254.6998666255,10.401851912660126,17832.546998666254
2024-10-27,67950.00097515,Positive,1802.0,Buy Long,0.0,26.390797264630454,0.0,1793254.6998666255,11.925431745240703,17832.546998666254
2024-10-28,69877.9379964,Positive,943.0,Hold,0.0,26.390797264630454,0.0,1844134.4949334094,15.101078255679365,18341.344949334096
2024-10-29,72692.83855247,Positive,480.0,Hold,0.0,26.390797264630454,0.0,1918421.9648287485,19.737707476233364,19084.219648287482
2024-10-30,72448.51936161,Negative,-52.0,Sell Long,1911974.1865949037,0.0,0.0,1911974.1865949037,19.33527141253627,19019.74186594904
2024-10-31,70350.66875177,Positive,935.0,Buy Long,0.0,27.17776846359828,0.0,1911974.1865949037,15.879747764652466,19019.74186594904
2024-11-01,69556.93986447,Positive,172.0,Hold,0.0,27.17776846359828,0.0,1890402.4066729948,14.572338682609749,18804.024066729948
2024-11-02,69438.65233749,Positive,835.0,Hold,0.0,27.17776846359828,0.0,1887187.6156526008,14.37749861877877,18771.876156526007
2024-11-03,68897.13164781,Negative,-28.0,Sell Long,1872470.2917302297,0.0,0.0,1872470.2917302297,13.485520162243066,18624.702917302297
