Date,Price,Volume,Market_cap
2024-08-16 00:00:00 UTC+0,0.00007675,9686128.338568,417460438.91727000
2024-08-15 00:00:00 UTC+0,0.00007661,16682027.442228,416687045.78852050
2024-08-14 00:00:00 UTC+0,0.00008147,25551726.165971,443112732.59198390
2024-08-13 00:00:00 UTC+0,0.00007863,10811984.339365,427680585.27668667
2024-08-12 00:00:00 UTC+0,0.00007911,19438524.515084,430362169.52595010
2024-08-11 00:00:00 UTC+0,0.00007738,46053226.591329,420971050.48081386
2024-08-10 00:00:00 UTC+0,0.00008686,57556223.184836,472401974.41279584
2024-08-09 00:00:00 UTC+0,0.00007070,9149836.166541,384504921.69154817
2024-08-08 00:00:00 UTC+0,0.00007149,12963460.857254,388738626.30994780
2024-08-07 00:00:00 UTC+0,0.00006514,15198668.432126,354286032.50211114
2024-08-06 00:00:00 UTC+0,0.00006686,12292028.166578,363239160.29373324
2024-08-05 00:00:00 UTC+0,0.00006417,47029161.781586,348626441.12641880
2024-08-04 00:00:00 UTC+0,0.00006643,12331362.695062,361000030.56927526
2024-08-03 00:00:00 UTC+0,0.00007121,11633002.201987,387037289.94309980
2024-08-02 00:00:00 UTC+0,0.00007301,11878923.177470,396904264.65191865
2024-08-01 00:00:00 UTC+0,0.00007791,14291463.703589,423574343.31041210
2024-07-31 00:00:00 UTC+0,0.00007821,8937837.857059,425310901.66212565
2024-07-30 00:00:00 UTC+0,0.00008023,8006684.816660,436634671.19409424
2024-07-29 00:00:00 UTC+0,0.00008324,12550167.128366,452781230.27886330
2024-07-28 00:00:00 UTC+0,0.00008286,7830049.507627,450716158.82914495
2024-07-27 00:00:00 UTC+0,0.00008549,9990036.143960,465121847.93709790
2024-07-26 00:00:00 UTC+0,0.00008546,9507182.540013,464953556.99132323
2024-07-25 00:00:00 UTC+0,0.00008155,15749120.802580,443697773.98863770
2024-07-24 00:00:00 UTC+0,0.00008449,14487346.791796,459717015.95787555
2024-07-23 00:00:00 UTC+0,0.00008487,15778085.621008,461765768.55825824
2024-07-22 00:00:00 UTC+0,0.00008864,13944866.302124,482438151.16731054
2024-07-21 00:00:00 UTC+0,0.00009086,12238480.572632,494278381.35510695
2024-07-20 00:00:00 UTC+0,0.00009072,13070269.012485,493522967.83576010
2024-07-19 00:00:00 UTC+0,0.00009034,20852210.585779,491525651.81343920
2024-07-18 00:00:00 UTC+0,0.00008767,19530723.499863,477045648.33413273
2024-07-17 00:00:00 UTC+0,0.00008998,35058761.769586,489543152.45313920
2024-07-16 00:00:00 UTC+0,0.00009328,59641427.105447,507534976.30362207
2024-07-15 00:00:00 UTC+0,0.00008153,21656906.263048,444877244.06586380
2024-07-14 00:00:00 UTC+0,0.00007505,10231191.573126,409961432.05881990
2024-07-13 00:00:00 UTC+0,0.00007497,15634852.566248,409172026.88003890
2024-07-12 00:00:00 UTC+0,0.00007152,12386393.986257,390498674.98852736
2024-07-11 00:00:00 UTC+0,0.00006975,11320450.643684,380833335.40971184
2024-07-10 00:00:00 UTC+0,0.00007137,14009803.139920,389695872.94234080
2024-07-09 00:00:00 UTC+0,0.00007054,10155826.980761,385432827.19171010
2024-07-08 00:00:00 UTC+0,0.00006936,16226719.428837,379070991.91777730
2024-07-07 00:00:00 UTC+0,0.00006793,15003376.679988,371339899.28692270
2024-07-06 00:00:00 UTC+0,0.00007252,10318069.828612,396518380.07199640
2024-07-05 00:00:00 UTC+0,0.00006669,31566229.482673,364581813.57483060
2024-07-04 00:00:00 UTC+0,0.00006866,19463205.482597,375543416.82840090
2024-07-03 00:00:00 UTC+0,0.00007638,13440577.029123,417883532.48741530
2024-07-02 00:00:00 UTC+0,0.00008168,9244380.535433,446984945.18145615
2024-07-01 00:00:00 UTC+0,0.00008084,10725327.998048,442464444.21047080
2024-06-30 00:00:00 UTC+0,0.00008220,8940541.975094,450122930.85300100
2024-06-29 00:00:00 UTC+0,0.00008045,9078415.059769,440657921.96430010
2024-06-28 00:00:00 UTC+0,0.00008079,11642684.408909,443529868.70032460
2024-06-27 00:00:00 UTC+0,0.00008218,15028761.036883,451210621.27535990
2024-06-26 00:00:00 UTC+0,0.00008252,16497811.108077,453230614.10303340
2024-06-25 00:00:00 UTC+0,0.00008132,23040057.918135,446664161.53146990
2024-06-24 00:00:00 UTC+0,0.00008182,70597863.290061,449532879.03374183
2024-06-23 00:00:00 UTC+0,0.00007459,28213619.832036,409941912.24121380
2024-06-22 00:00:00 UTC+0,0.00007656,136204428.047572,420876130.30762530
2024-06-21 00:00:00 UTC+0,0.00009073,8742695.411265,499640600.55396740
2024-06-20 00:00:00 UTC+0,0.00009092,12462373.563993,500731374.16227840
2024-06-19 00:00:00 UTC+0,0.00009134,11831111.544189,503002385.39824990
2024-06-18 00:00:00 UTC+0,0.00009200,33543641.379790,506848826.36426310
2024-06-17 00:00:00 UTC+0,0.00009490,23101384.390108,523861500.07969610
2024-06-16 00:00:00 UTC+0,0.00010460,32145435.777649,577616527.31145220
2024-06-15 00:00:00 UTC+0,0.00009551,6526767.283361,527297094.07508606
2024-06-14 00:00:00 UTC+0,0.00009462,15441283.619627,548666504.14725650
2024-06-13 00:00:00 UTC+0,0.00009858,18558078.193376,571945080.08682430
2024-06-12 00:00:00 UTC+0,0.00010570,23397144.150719,612302918.38911130
2024-06-11 00:00:00 UTC+0,0.00010071,19251184.263951,583357335.26508060
2024-06-10 00:00:00 UTC+0,0.00010650,11418306.960549,617535207.77343860
2024-06-09 00:00:00 UTC+0,0.00010817,11745433.876165,626802092.91934920
2024-06-08 00:00:00 UTC+0,0.00010509,16123301.685664,608924692.35755490
2024-06-07 00:00:00 UTC+0,0.00010904,34576117.082236,631915573.37314430
2024-06-06 00:00:00 UTC+0,0.00012106,22378703.145065,701567789.92718090
2024-06-05 00:00:00 UTC+0,0.00011909,16099678.742584,689973970.38000620
2024-06-04 00:00:00 UTC+0,0.00011900,14495868.284027,689472107.36090550
2024-06-03 00:00:00 UTC+0,0.00011869,20163343.921991,688245132.11493740
2024-06-02 00:00:00 UTC+0,0.00011644,19150569.116864,674499785.04847800
2024-06-01 00:00:00 UTC+0,0.00011998,22347414.443159,695035666.62770590
2024-05-31 00:00:00 UTC+0,0.00011939,40212676.382924,691856640.34301030
2024-05-30 00:00:00 UTC+0,0.00012177,96180166.692135,705698245.05136980
2024-05-29 00:00:00 UTC+0,0.00011348,32422532.990119,657733662.51750840
2024-05-28 00:00:00 UTC+0,0.00011469,23222994.217504,664805051.41027640
2024-05-27 00:00:00 UTC+0,0.00011567,24897564.205876,670763839.63034980
2024-05-26 00:00:00 UTC+0,0.00011148,13883410.288339,645725058.88773050
2024-05-25 00:00:00 UTC+0,0.00011425,15222405.472527,661759529.30354980
2024-05-24 00:00:00 UTC+0,0.00011436,20903320.270022,662365932.91469960
2024-05-23 00:00:00 UTC+0,0.00011386,40531556.385722,659613379.90647160
2024-05-22 00:00:00 UTC+0,0.00011596,104205921.698364,671793425.51370550
2024-05-21 00:00:00 UTC+0,0.00011105,25684472.919224,642989068.69932390
2024-05-20 00:00:00 UTC+0,0.00011073,15625654.344697,641018261.38607130
2024-05-19 00:00:00 UTC+0,0.00010381,10567428.617019,601029814.86894320
2024-05-18 00:00:00 UTC+0,0.00010826,11347832.359915,626868848.23298130
2024-05-17 00:00:00 UTC+0,0.00010909,13636676.917724,632407388.60345760
2024-05-16 00:00:00 UTC+0,0.00010735,18904463.297391,622432321.20396640
2024-05-15 00:00:00 UTC+0,0.00010913,23104520.328235,632861170.20654690
2024-05-14 00:00:00 UTC+0,0.00010201,16658562.186174,591682127.28390960
2024-05-13 00:00:00 UTC+0,0.00010470,18978001.289738,607361475.55645740
2024-05-12 00:00:00 UTC+0,0.00010444,10535349.006609,605706847.92386320
2024-05-11 00:00:00 UTC+0,0.00010507,23887491.329316,609390377.12511910
2024-05-10 00:00:00 UTC+0,0.00010323,19506030.945038,598770811.48760720
2024-05-09 00:00:00 UTC+0,0.00010706,18878569.189127,621036115.51011740
2024-05-08 00:00:00 UTC+0,0.00010407,41300251.634852,603745520.55491520
2024-05-07 00:00:00 UTC+0,0.00010336,19211997.300835,599687394.74634730
2024-05-06 00:00:00 UTC+0,0.00010751,51225863.587104,623518893.66166150
2024-05-05 00:00:00 UTC+0,0.00011297,32034203.551432,655212660.08748950
2024-05-04 00:00:00 UTC+0,0.00010858,18943411.533959,629698980.02595890
2024-05-03 00:00:00 UTC+0,0.00010711,19361685.355250,621223212.86998060
2024-05-02 00:00:00 UTC+0,0.00010400,21377384.422232,603060352.23350320
2024-05-01 00:00:00 UTC+0,0.00010016,24381285.885683,580802494.03835520
2024-04-30 00:00:00 UTC+0,0.00009976,22989061.685592,578602018.98707910
2024-04-29 00:00:00 UTC+0,0.00010455,17038466.141451,606410968.77750300
2024-04-28 00:00:00 UTC+0,0.00010539,11883210.637805,611970452.98661380
2024-04-27 00:00:00 UTC+0,0.00010691,18552199.259269,620983355.15456220
2024-04-26 00:00:00 UTC+0,0.00010667,38294897.298522,620202129.22226100
2024-04-25 00:00:00 UTC+0,0.00010901,27699647.248855,634134437.88964830
2024-04-24 00:00:00 UTC+0,0.00010443,28230360.883337,607528784.23298280
